,name1,name2,name3,name4,name5,name6,name7,species,article,,doi,author,data,size,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Aegilops tauschii,Genome sequence of the progenitor of the wheat D genome Aegilops tauschii,Nature. 2017 Nov 23 551(7681):498-502. Epub 2017 Nov 15.,10.1038/nature24486,Luo MC et al.,2017/11/15,4360,,Artocarpus heterophyllus
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Aegilops tauschii,The Aegilops tauschii genome reveals multiple impacts of transposons,Nat Plants. 2017 Dec 3(12):946-955. Epub 2017 Nov 20.,10.1038/s41477-017-0067-8,Zhao G et al.,2017/11/20,4360,,Cladopus chinensis
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Alloteropsis semialata,Lateral transfers of large DNA fragments spread functional genes among grasses,"Proc Natl Acad Sci U S A. 2019 Mar 5, 116(10): 4416-4425. Epub 2019 Feb 20. ",10.1073/pnas.1810031116,Dunning LT et al.,2019/2/20,1100,,Manihot esculenta
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Bonia amplexicaulis,Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos,Mol Plant. 2019 Oct 7 12(10):1353-1365. Epub 2019 May 27.,10.1016/j.molp.2019.05.009,Guo ZH et al.,2019/5/27,848,,Capsella bursa-pastoris
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Brachypodium distachyon,Genome sequencing and analysis of the model grass Brachypodium distachyon,Nature. 2010 Feb 11 463(7282):763-8.,10.1038/nature08747,International Brachypodium Initiative,2010/2/11,272,20148030,Mangifera indica
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Brachypodium hybridum,Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors,"Nat Commun. 2020 Jul 29, 11(1): 3670",10.1038/s41467-020-17302-5,Gordon SP et al.,2020/7/29,509,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Brachypodium stacei,Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors,"Nat Commun. 2020 Jul 29, 11(1): 3670",10.1038/s41467-020-17302-5,Gordon SP et al.,2020/7/29,234,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Cenchrus americanus,Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments,Nat Biotechnol. 2017 Oct 35(10):969-976. Epub 2017 Sep 18.,10.1038/nbt.3943,Varshney RK et al.,2017/9/18,2350,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Cenchrus purpureus,The elephant grass (Cenchrus purpureus) genome provides insights into anthocyanidin accumulation and fast growth,"Mol Ecol Resour. 2020 Oct 11, Online ahead of print.",10.1111/1755-0998.13271,Yan Q et al.,2020/10/11,1970,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Cleistogenes songorica,The genome of Cleistogenes songorica provides a blueprint for functional dissection of dimorphic flower differentiation and drought adaptability,"Plant Biotechnol J. 2020 Sep 22, Online ahead of print.",10.1111/pbi.13483,Zhang J et al.,2020/9/22,542,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Coix aquatica,The Coix genome provides insights into Panicoideae evolution and papery hull domestication,"Mol Plant. 2019 Nov 25, Epub ahead of print",10.1016/j.molp.2019.11.008,Guo C et al.,2019/11/25,1660,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Coix lacryma-jobi,"Genome Assembly and Annotation of Soft-Shelled Adlay (Coix lacryma-jobi Variety ma-yuen), a Cereal and Medicinal Crop in the Poaceae Family",Front Plant Sci. 2020 May 18,10.3389/fpls.2020.00630,Kang SH et al.,2020/5/18,1560,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Dactylis glomerata,Genome assembly provides insights into the genome evolution and flowering regulation of orchardgrass,Plant Biotechnol J. 2019 Jul 5. Epub ahead of print,10.1111/pbi.13205,Huang L et al.,2019/7/5,1940,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Dichanthelium oligosanthes,The draft genome of the C3 panicoid grass species Dichanthelium oligosanthes,Genome Biol. 2016 Oct 28 17(1):223.,10.1186/s13059-016-1080-3,Studer AJ et al.,2016/10/28,750,27793170,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Digitaria exilis,Fonio millet genome unlocks African orphan crop diversity for agriculture in a changing climate,"Nat Commun. 2020 Sep 8, 11(1): 4488",10.1038/s41467-020-18329-4,Abrouk M et al.,2020/9/8,893,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Echinochloa crus-galli,Echinochloa crus-galli genome analysis provides insight into its adaptation and invasiveness as a weed,Nat Commun. 2017 Oct 18 8(1):1031.,10.1038/s41467-017-01067-5,Guo L et al.,2017/10/18,1400,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eleusine coracana,Genome and Transcriptome sequence of Finger millet (Eleusine coracana (L.) Gaertn.) provides insights into drought tolerance and nutraceutical properties,BMC Genomics. 2017 Jun 15 18(1):465.,10.1186/s12864-017-3850-z,Hittalmani S et al.,2017/6/15,1460,28619070,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eleusine indica,Development of a goosegrass (Eleusine indica) draft genome and application to weed science research,Pest Manag Sci. 2019 Oct 75(10):2776-2784. Epub 2019 Apr 10.,10.1002/ps.5389,Zhang H et al.,2019/3/8,584,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eragrostis curvula,A high-quality genome of Eragrostis curvula grass provides insights into Poaceae evolution and supports new strategies to enhance forage quality,"Sci Rep. 2019 Jul 15, 9(1): 10250",10.1038/s41598-019-46610-0,Carballo J et al.,2019/7/15,660,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eragrostis nindensis,Intertwined signatures of desiccation and drought tolerance in grasses,"Proc Natl Acad Sci U S A. 2020 Apr 23, Epub ahead of print",10.1073/pnas.2001928117,Pardo J et al.,2020/4/23,1035,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eragrostis tef,Genome and transcriptome sequencing identifies breeding targets in the orphan crop tef (Eragrostis tef),BMC Genomics. 2014 Jul 9 15:581.,10.1186/1471-2164-15-581,Cannarozzi et al.,2014/7/9,700,25007843,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Eragrostis tef,Exceptional subgenome stability and functional divergence in the allotetraploid Ethiopian cereal teff,"Nat Commun. 2020 Feb 14, 11(1): 884",10.1038/s41467-020-14724-z,VanBuren R et al.,2020/2/14,700,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Guadua angustifolia,Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos,Mol Plant. 2019 Oct 7 12(10):1353-1365. Epub 2019 May 27.,10.1016/j.molp.2019.05.009,Guo ZH et al.,2019/5/27,1614,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,"A physical, genetic and functional sequence assembly of the barley genome",Nature. 2012 Nov 29 491(7426):711-6. Epub 2012 Oct 17.,10.1038/nature11543,International Barley Genome Sequencing Consortium,2012/10/17,4500-5100,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,The draft genome of Tibetan hulless barley reveals adaptive patterns to the high stressful Tibetan Plateau,Proc Natl Acad Sci U S A. 2015 Jan 27 112(4):1095-100. Epub 2015 Jan 12.,10.1073/pnas.1423628112,Zeng X et al.,2015/1/12,4500-5100,25583503,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,A chromosome conformation capture ordered sequence of the barley genome,Nature. 2017 Apr 26 544(7651):427-433.,10.1038/nature22043,Mascher M et al.,2017/4/26,4500-5100,28447635,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,Assembly and analysis of a qingke reference genome demonstrate its close genetic relation to modern cultivated barley,"Plant Biotechnol J. 2018 Mar, 16(3): 760-770",10.1111/pbi.12826,Dai F et al.,2017/9/4,4500-5100,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,An improved high-quality genome assembly and annotation of Tibetan hulless barley,"Sci Data. 2020 May 8, 7(1): 139",10.1038/s41597-020-0480-0,Zeng X et al.,2020/5/8,4500-5100,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Hordeum vulgare,The barley pan-genome reveals the hidden legacy of mutation breeding,Nature. 2020 Nov 25. Online ahead of print.,10.1038/s41586-020-2947-8,Jayakodi M et al.,2020/11/25,4500-5100,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Leersia perrieri,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,323,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Lolium perenne,A synteny-based draft genome sequence of the forage grass Lolium perenne,Plant J. 2015 Nov 84(4):816-26.,10.1111/tpj.13037,Byrne SL et al.,2015/9/26,2000,26408275,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Miscanthus sinensis,Genome biology of the paleotetraploid perennial biomass crop Miscanthus,"Nat Commun. 2020 Oct 28, 11(1): 5442",10.1038/s41467-020-18923-6,Mitros T et al.,2020/10/28,2500,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Olyra latifolia,Genome sequences provide insights into the reticulate origin and unique traits of woody bamboos,Mol Plant. 2019 Oct 7 12(10):1353-1365. Epub 2019 May 27.,10.1016/j.molp.2019.05.009,Guo ZH et al.,2019/5/27,646,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oropetium thomaeum,Single-molecule sequencing of the desiccation-tolerant grass Oropetium thomaeum,Nature. 2015 Nov 26 527(7579):508-11. Epub 2015 Nov 11.,10.1038/nature15714,VanBuren R et al.,2015/11/11,245,26560029,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oropetium thomaeum,A chromosome-scale assembly of the model desiccation tolerant grass Oropetium thomaeum,"Plant Direct. 2018 Nov 15, 2(11): e00096",10.1002/pld3.96,VanBuren R et al.,2018/11/15,245,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza barthii,Rapid diversification of five Oryza AA genomes associated with rice adaptation,Proc Natl Acad Sci U S A. 2014 Nov 18 111(46):E4954-62. Epub 2014 Nov 3.,10.1073/pnas.1418307111,Zhang et al.,2014/11/3,376,25368197,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza barthii,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,376,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza brachyantha,Whole-genome sequencing of Oryza brachyantha reveals mechanisms underlying Oryza genome evolution,Nat Commun. 2013 4:1595.,10.1038/ncomms2596,Chen et al.,2013/3/12,300,23481403,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza coarctata,"First de novo draft genome sequence of Oryza coarctata, the only halophytic species in the genus Oryza","F1000Res. 2017 Dec 15, 6: 1750",10.12688/f1000research.12414.2,Mondal TK et al.,2017/12/15,665,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza coarctata,Draft genome sequence of first monocot-halophytic species Oryza coarctata reveals stress-specific genes,"Sci Rep. 2018 Sep 12, 8(1):13698",10.1038/s41598-018-31518-y,Mondal TK et al.,2018/9/12,665,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza coarctata,Draft genome and transcriptome analyses of halophyte rice Oryza coarctata provide resources for salinity and submergence stress response factors,Physiol Plant. 2020 Nov 20. Online ahead of print.,10.1111/ppl.13284,Bansal J et al.,2020/11/20,665,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza eichingeri,"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels","Genome Biol Evol. 2020 Mar 3, Epub ahead of print",10.1093/gbe/evaa037,Shenton M et al.,2020/3/3,500,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza glaberrima,The genome sequence of African rice (Oryza glaberrima) and evidence for independent domestication,Nat Genet. 2014 Sep 46(9):982-8. Epub 2014 Jul 27.,10.1038/ng.3044,Wang et al.,2014/7/27,411,25064006,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza glumaepatula,Rapid diversification of five Oryza AA genomes associated with rice adaptation,Proc Natl Acad Sci U S A. 2014 Nov 18 111(46):E4954-62. Epub 2014 Nov 3.,10.1073/pnas.1418307111,Zhang et al.,2014/11/3,366,25368197,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza glumaepatula,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,366,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza granulata,De novo genome assembly of Oryza granulata reveals rapid genome expansion and adaptive evolution,"Commun Biol. 2018 Jun 29, 1:84",10.1038/s42003-018-0089-4,Wu Z et al.,2018/6/29,780,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza granulata,"The draft genome sequence of an upland wild rice species, Oryza granulata","Sci Data 7, 131 (2020)",10.1038/s41597-020-0470-2,Shi C et al.,2020/4/29,780,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza longistaminata,Genome and Comparative Transcriptomics of African Wild Rice Oryza longistaminata Provide Insights into Molecular Mechanism of Rhizomatousness and Self-Incompatibility,"Mol Plant. 2015 Nov 2, 8(11): 1683-6",10.1016/j.molp.2015.08.006,Zhang Y et al.,2015/11/2,350,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza longistaminata,"Improved hybrid de novo genome assembly and annotation of African wild rice, Oryza longistaminata, from Illumina and PacBio sequencing reads","Plant Genome. 2020, e20001",10.1002/tpg2.20001,Li W et al.,2020/3/20,350,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza meridionalis,Rapid diversification of five Oryza AA genomes associated with rice adaptation,Proc Natl Acad Sci U S A. 2014 Nov 18 111(46):E4954-62. Epub 2014 Nov 3.,10.1073/pnas.1418307111,Zhang et al.,2014/11/3,388,25368197,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza meridionalis,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,388,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza nivara,Rapid diversification of five Oryza AA genomes associated with rice adaptation,Proc Natl Acad Sci U S A. 2014 Nov 18 111(46):E4954-62. Epub 2014 Nov 3.,10.1073/pnas.1418307111,Zhang et al.,2014/11/3,395,25368197,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza nivara,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,395,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza officinalis,"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels","Genome Biol Evol. 2020 Mar 3, Epub ahead of print",10.1093/gbe/evaa037,Shenton M et al.,2020/3/3,590,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza punctata,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,423,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza rhizomatis,"Evolution and diversity of the wild rice Oryza officinalis complex, across continents genome types, and ploidy levels","Genome Biol Evol. 2020 Mar 3, Epub ahead of print",10.1093/gbe/evaa037,Shenton M et al.,2020/3/3,590,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza rufipogon,"Genomes of 13 domesticated and wild rice relatives highlight genetic conservation, turnover and innovation across the genus Oryza",Nat Genet. 2018 Feb 50(2):285-296. Epub 2018 Jan 22.,10.1038/s41588-018-0040-0,Stein JC et al.,2018/1/22,450,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza rufipogon,A chromosome-level genome assembly of the wild rice Oryza rufipogon facilitates tracing the origins of Asian cultivated rice,"Sci China Life Sci. 2020 Jul 28, Online ahead of print.",10.1007/s11427-020-1738-x,Xie X et al.,2020/7/28,450,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza sativa,A draft sequence of the rice genome (Oryza sativa L. ssp. indica),Science. 2002 Apr 5 296(5565):79-92.,10.1126/science.1068037,Yu et al.,2002/4/5,430,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza sativa,A draft sequence of the rice genome (Oryza sativa L. ssp. japonica),Science. 2002 Apr 5 296(5565):92-100.,10.1126/science.1068275,Goff et al.,2002/4/5,430,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza sativa,Genome sequence of the model rice variety KitaakeX,"BMC Genomics. 2019 Nov 27, 20(1): 905",10.1186/s12864-019-6262-4,Jain R et al.,2019/11/27,430,,
Angiospermae,Mesangiosperms,Monocotyledoneae,XXXXX,Petrosaviidae,Commelinids,Poales,Poaceae,Oryza sativa,Genome assembly and characterization of a complex zfBED-NLR gene-containing disease resistance locus in Carolina Gold Select rice with Nanopore sequencing,"PLoS Genet. 2020 Jan 27, 16(1): e1008571",10.1371/journal.pgen.1008571,Read AC et al.,2020/1/27,430,,
